 Say hi to Christina hopefully moving in next weekend,"['Say', 'hi', 'to', 'Christina', 'hopefully', 'moving', 'in', 'next', 'weekend']"
 aaand please welcome my friend Tom some of you may already have met him  he came to our rooftop bday  Booth House ´ Booth House _ Booth House Îå Booth House ´ Booth House â Booth House ´ Booth House _ Booth House Îå Booth House ´ Booth House â,"['aaand', 'please', 'welcome', 'my', 'friend', 'Tom', 'some', 'of', 'you', 'may', 'already', 'have', 'met', 'him', 'he', 'came', 'to', 'our', 'rooftop', 'bday', 'Ì´Ì_ÌÎ\x8fÌ´ÌâÌ´Ì_ÌÎ\x8fÌ´Ìâ']"
30082019 152726  Booth House ´ Booth House _ Booth House Î Booth House 44 7482 729729 added  Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´ Booth House ö44 Booth House Îå« Booth House Î_7495 Booth House Îå« Booth House Î_623839 Booth House ´ Booth House _ Booth House Î Booth House  Booth House Î Booth House ¢,"['30082019', '152726', 'Ì´Ì_ÌÎÌ44', '7482', '729729', 'added', 'Ì´Ì_ÌÎÌÌ´Ìö44ÌÎå«ÌÎ_7495ÌÎå«ÌÎ_623839Ì´Ì_ÌÎÌÌÎÌ¢']"
 moving in this week  Booth House Îå» Booth House Î_,"['moving', 'in', 'this', 'week', 'ÌÎå»ÌÎ_']"
 Hello and hello,"['Hello', 'and', 'hello']"
 I know this is a bit of an odd request but while I was away my water kefir grains died Does anyone have any spare that I could have a few to restart my little growing batch,"['I', 'know', 'this', 'is', 'a', 'bit', 'of', 'an', 'odd', 'request', 'but', 'while', 'I', 'was', 'away', 'my', 'water', 'kefir', 'grains', 'died', 'Does', 'anyone', 'have', 'any', 'spare', 'that', 'I', 'could', 'have', 'a', 'few', 'to', 'restart', 'my', 'little', 'growing', 'batch']"
 Oh Cush thats so sad  But no I never managed to revive mine from the supplier sending them dehydrated  Id love it if you would teach me how to grow them,"['Oh', 'Cush', 'thats', 'so', 'sad', 'But', 'no', 'I', 'never', 'managed', 'to', 'revive', 'mine', 'from', 'the', 'supplier', 'sending', 'them', 'dehydrated', 'Id', 'love', 'it', 'if', 'you', 'would', 'teach', 'me', 'how', 'to', 'grow', 'them']"
 Hi Tom welcome welcome welcome,"['Hi', 'Tom', 'welcome', 'welcome', 'welcome']"
 Hi tom welcome,"['Hi', 'tom', 'welcome']"
30082019 155322 Jooles Dotdotdot Hi Tom IV  Booth House Îå» Booth House Î Booth House Ò Booth House Î Booth House  Booth House Îå» Booth House ´å Booth House Î Booth House ¦,"['30082019', '155322', 'Jooles', 'Dotdotdot', 'Hi', 'Tom', 'IV', 'ÌÎå»ÌÎÌÒÌÎÌÌÎå»Ì´\x8fÌÎÌ¦']"
30082019 155411 Christina Thanks 447717345724 Hi All,"['30082019', '155411', 'Christina', 'Thanks', '447717345724', 'Hi', 'All']"
 Good point  I think we need a better system than me putting them in my phone as Tom Other Tom Other Other Tom and Tom IV,"['Good', 'point', 'I', 'think', 'we', 'need', 'a', 'better', 'system', 'than', 'me', 'putting', 'them', 'in', 'my', 'phone', 'as', 'Tom', 'Other', 'Tom', 'Other', 'Other', 'Tom', 'and', 'Tom', 'IV']"
 Tom 4,"['Tom', '4']"
 Hi Christina and Hi Tom I met you at the party ,"['Hi', 'Christina', 'and', 'Hi', 'Tom', 'I', 'met', 'you', 'at', 'the', 'party']"
30082019 163814 Jen Dotdotdot I have milk kefir grains,"['30082019', '163814', 'Jen', 'Dotdotdot', 'I', 'have', 'milk', 'kefir', 'grains']"
 Hello Christina and Tom,"['Hello', 'Christina', 'and', 'Tom']"
 Hi Christina and Tom,"['Hi', 'Christina', 'and', 'Tom']"
 I also have milk kefir grains,"['I', 'also', 'have', 'milk', 'kefir', 'grains']"
 When I get them growing again they quickly get too much so I wind up throwing them away so would be very happy to give me soares to you and show you how to keep them happy Booth House Booth House ´å,"['When', 'I', 'get', 'them', 'growing', 'again', 'they', 'quickly', 'get', 'too', 'much', 'so', 'I', 'wind', 'up', 'throwing', 'them', 'away', 'so', 'would', 'be', 'very', 'happy', 'to', 'give', 'me', 'soares', 'to', 'you', 'and', 'show', 'you', 'how', 'to', 'keep', 'them', 'happy', 'ÌÎå»ÌÎÌÁÌ´\x81']"
 Thanks but they wont work Thank you anyway though,"['Thanks', 'but', 'they', 'wont', 'work', 'Thank', 'you', 'anyway', 'though']"
30082019 171609 Dotdotdot Vote all toms need a nick name Booth House Booth House Îå¢,"['30082019', '171609', 'Dotdotdot', 'Vote', 'all', 'toms', 'need', 'a', 'nick', 'name', 'ÌÎå»ÌÎÌÁÌÎå¢']"
 Why don Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´åÈt they just decide what they want to be called  let us know,"['Why', 'donÌ´Ì_ÌÎÌÌ´åÈt', 'they', 'just', 'decide', 'what', 'they', 'want', 'to', 'be', 'called', 'let', 'us', 'know']"
  Booth House ´ Booth House _ Booth House Î Booth House This message was deleted,"['Ì´Ì_ÌÎÌThis', 'message', 'was', 'deleted']"
 How about Tom Tom Tom Tom Tom Tom Tom Tom Tom Tom Before you know it wed have an entire percussion section,"['How', 'about', 'Tom', 'Tom', 'Tom', 'Tom', 'Tom', 'Tom', 'Tom', 'Tom', 'Tom', 'Tom', 'Before', 'you', 'know', 'it', 'wed', 'have', 'an', 'entire', 'percussion', 'section']"
 I cant help but notice those who are conspicuous by their absences,"['I', 'cant', 'help', 'but', 'notice', 'those', 'who', 'are', 'conspicuous', 'by', 'their', 'absences']"
 Ok cool will dm you a few others applying so we can all get together,"['Ok', 'cool', 'will', 'dm', 'you', 'a', 'few', 'others', 'applying', 'so', 'we', 'can', 'all', 'get', 'together']"
 httpsweownitorguknhstradedealaction,['httpsweownitorguknhstradedealaction']
 For those who offered items for the art exhibition can you please bring them down to the canteen before 11am I Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´åÈm looking for healthy interesting plants in pots a couple of tall floor ones would be nice if anyone has that A couple of floor lamps and a few more tiny tablesstools Thanks x,"['For', 'those', 'who', 'offered', 'items', 'for', 'the', 'art', 'exhibition', 'can', 'you', 'please', 'bring', 'them', 'down', 'to', 'the', 'canteen', 'before', '11am', 'IÌ´Ì_ÌÎÌÌ´åÈm', 'looking', 'for', 'healthy', 'interesting', 'plants', 'in', 'pots', 'a', 'couple', 'of', 'tall', 'floor', 'ones', 'would', 'be', 'nice', 'if', 'anyone', 'has', 'that', 'A', 'couple', 'of', 'floor', 'lamps', 'and', 'a', 'few', 'more', 'tiny', 'tablesstools', 'Thanks', 'x']"
31082019 091927 Jen Dotdotdot Ive got loads of plants Ill bring,"['31082019', '091927', 'Jen', 'Dotdotdot', 'Ive', 'got', 'loads', 'of', 'plants', 'Ill', 'bring']"
 Cheers Jem Got everything I need now guys Thanks x,"['Cheers', 'Jem', 'Got', 'everything', 'I', 'need', 'now', 'guys', 'Thanks', 'x']"
31082019 100616 Dotdotdot Anyone got a kitchen scale I can borrow for 15 mins,"['31082019', '100616', 'Dotdotdot', 'Anyone', 'got', 'a', 'kitchen', 'scale', 'I', 'can', 'borrow', 'for', '15', 'mins']"
 Do you still need the scale,"['Do', 'you', 'still', 'need', 'the', 'scale']"
31082019 102423 Dotdotdot No I Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´åÈm good thank you,"['31082019', '102423', 'Dotdotdot', 'No', 'IÌ´Ì_ÌÎÌÌ´åÈm', 'good', 'thank', 'you']"
 How about a deathly looking geordie,"['How', 'about', 'a', 'deathly', 'looking', 'geordie']"
 I look on today in utter awe Awe of the people I live with You guys are special I feel truly blessed to know each and every single one of you Today will be one great achievement Massive thanks must go to the chiefs Jooles and Pete and Mai But without the community it would be nothing Peace love and the booth Lets have it,"['I', 'look', 'on', 'today', 'in', 'utter', 'awe', 'Awe', 'of', 'the', 'people', 'I', 'live', 'with', 'You', 'guys', 'are', 'special', 'I', 'feel', 'truly', 'blessed', 'to', 'know', 'each', 'and', 'every', 'single', 'one', 'of', 'you', 'Today', 'will', 'be', 'one', 'great', 'achievement', 'Massive', 'thanks', 'must', 'go', 'to', 'the', 'chiefs', 'Jooles', 'and', 'Pete', 'and', 'Mai', 'But', 'without', 'the', 'community', 'it', 'would', 'be', 'nothing', 'Peace', 'love', 'and', 'the', 'booth', 'Lets', 'have', 'it']"
 Joking Chris you truly are a sweet man,"['Joking', 'Chris', 'you', 'truly', 'are', 'a', 'sweet', 'man']"
 Joking Chris you truly are a sweet man,"['Joking', 'Chris', 'you', 'truly', 'are', 'a', 'sweet', 'man']"
 Joking Chris you truly are a sweet man,"['Joking', 'Chris', 'you', 'truly', 'are', 'a', 'sweet', 'man']"
 Yes please All day x,"['Yes', 'please', 'All', 'day', 'x']"
 Has anyone got a VGA to HDMI adaptor please,"['Has', 'anyone', 'got', 'a', 'VGA', 'to', 'HDMI', 'adaptor', 'please']"
 And a couple AA batteries,"['And', 'a', 'couple', 'AA', 'batteries']"
  Booth House ´ Booth House _ Booth House Î Booth House image omitted,"['Ì´Ì_ÌÎÌimage', 'omitted']"
 Anyone have a fake houseplant I could borrow for tomorrow eve Safer than potentially endangering a real one,"['Anyone', 'have', 'a', 'fake', 'houseplant', 'I', 'could', 'borrow', 'for', 'tomorrow', 'eve', 'Safer', 'than', 'potentially', 'endangering', 'a', 'real', 'one']"
 Anyone have a fake houseplant I could borrow for tomorrow eve Safer than potentially endangering a real one,"['Anyone', 'have', 'a', 'fake', 'houseplant', 'I', 'could', 'borrow', 'for', 'tomorrow', 'eve', 'Safer', 'than', 'potentially', 'endangering', 'a', 'real', 'one']"
 Ive got some roses,"['Ive', 'got', 'some', 'roses']"
 Ive got some roses,"['Ive', 'got', 'some', 'roses']"
 Ive got some roses,"['Ive', 'got', 'some', 'roses']"
 AMAZING CAKES IN THE CANTEEN FOR THE E123 WELCOMES REFUGEES there Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´åÈs also some nice art to see Booth House,"['AMAZING', 'CAKES', 'IN', 'THE', 'CANTEEN', 'FOR', 'THE', 'E123', 'WELCOMES', 'REFUGEES', 'thereÌ´Ì_ÌÎÌÌ´åÈs', 'also', 'some', 'nice', 'art', 'to', 'see', 'ÌÎå»ÌÎÌÁ']"
31082019 115302 Dotdotdot Peeps of 2A I have taken one of ya knives Will return after the art fair,"['31082019', '115302', 'Dotdotdot', 'Peeps', 'of', '2A', 'I', 'have', 'taken', 'one', 'of', 'ya', 'knives', 'Will', 'return', 'after', 'the', 'art', 'fair']"
31082019 115312 Dotdotdot 2B,"['31082019', '115312', 'Dotdotdot', '2B']"
